id,regime,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163660476,reinverted,0.1,0.8,1.42,0.12,0.043614527118178884,0.6225464583591177,0.6193553391497449,5.399492130761933e-5,11.798421276805444,1.0847571023731712
163660628,reinverted,0.1,0.8,1.42,0.12,-0.09716525694504106,0.7570421199523213,0.7356565653300281,6.074428647091572e-5,11.804494099176615,1.0847134990791136
163661487,reinverted,0.1,0.8,1.42,0.12,-1.540363584726122,0.9057226125893179,1.1371364602331637,1.6873413087368313e-5,11.805121588487944,1.084708996218656
163662076,reinverted,0.1,0.8,1.42,0.12,-0.43507145752137294,0.6298140878056251,0.8411972056033428,1.2373836132963204e-5,11.780236466320215,1.0848879394619122
163665605,reinverted,0.1,0.8,1.42,0.12,-0.06824282946624856,0.5850709278624711,0.6353387589870952,3.4871720044475574e-5,11.816808414502812,1.0846252190035253
163666456,reinverted,0.1,0.8,1.42,0.12,-0.24112874386982802,0.615838969060136,0.7541562108347856,1.9123201296447995e-5,11.821957526119236,1.0845883600740924
163668099,reinverted,0.1,0.8,1.42,0.12,0.5636514084997041,0.8603514464938988,0.85432729641345,5.455736769937684e-5,11.826428948137119,1.08455637829351
16367419x,reinverted,0.1,0.8,1.42,0.12,-0.2796135515540173,0.4373413064077913,0.7153554440065998,4.499576775636286e-6,11.832247545773157,1.0845147970519964
163700175,reinverted,0.1,0.8,1.42,0.12,-0.14237664288742496,0.3158743105323282,0.4618621520816803,7.874259383233531e-6,11.798876663347336,1.0847538311088931
163700239,reinverted,0.1,0.8,1.42,0.12,-0.6299919013837185,0.8656252376290877,1.0943368792224963,1.6310965811673453e-5,11.825726825136915,1.0845613986173253
16371813x,reinverted,0.1,0.8,1.42,0.12,0.3300682088953304,0.47183859428442143,0.5538806664979461,2.36227780167604e-5,11.815913234370557,1.0846316302569965
163719212,reinverted,0.1,0.8,1.42,0.12,0.8286046594937267,0.5532772251360292,0.6272830802327909,2.8122354484235103e-5,11.830637322778136,1.0845263000391914
163741137,reinverted,0.1,0.8,1.42,0.12,-0.8455699100814313,0.5459517572854996,0.5945811482652258,3.430927327764556e-5,11.76391247427023,1.085005732760013
163742818,reinverted,0.1,0.8,1.42,0.12,0.3392290461011339,0.5134429214139248,0.5774297744406209,2.9247248940149747e-5,11.79331438682498,1.0847938049643755
163743423,reinverted,0.1,0.8,1.42,0.12,-0.5194141896667824,0.7082285295359328,0.7641296788252318,3.599661432333577e-5,11.800953025685633,1.0847389187825278
163744872,reinverted,0.1,0.8,1.42,0.12,0.9926487240938705,0.2526779870781328,0.27713528757849987,3.318437864216014e-5,11.823665503597176,1.084576140934955
163747299,reinverted,0.1,0.8,1.42,0.12,0.9191734591368435,0.5060771428623705,0.5737707924824317,2.812235448424024e-5,11.830963877611026,1.084523966968778
163747424,reinverted,0.1,0.8,1.42,0.12,0.08120658161144192,0.6066338360582927,0.6849341339284568,2.8684801877127316e-5,11.803238433605767,1.0847225111671754
163749569,reinverted,0.1,0.8,1.42,0.12,0.25095920650045217,0.2287877200377481,0.3963874439900833,3.3746825840407008e-6,11.831563377371907,1.0845196841790594
163751714,reinverted,0.1,0.8,1.42,0.12,-1.0981926598156173,0.6418113749008094,0.7323877401094796,2.6997460939808843e-5,11.579704178883794,1.0863579919272508
163751757,reinverted,0.1,0.8,1.42,0.12,-0.43745442966927933,0.9763083818217607,1.2179323246544094,1.7435859945082467e-5,11.828435036427653,1.0845420376339163
