id,eta_seed,alpha,theta,sigma,amenity,productivity,wage_data,employment_data,employment_inverted,markdown_inverted
750442035,0.1,0.8,5.0,0.25,-0.7850422216366685,2.7462675817390343,1.9323887333331304,0.0003042838782976976,0.0003042838782386548,1.0504857974882797
750442377,0.1,0.8,5.0,0.25,-0.38516794266340615,1.6226347579622786,1.0253771993621703,0.0005163264330448917,0.0005163264329380285,1.0523249487022053
750442721,0.1,0.8,5.0,0.25,0.194934017424515,0.4149850198308848,0.5493412894927683,1.29362831808633e-5,1.2936283178448443e-5,1.050088481079434
750444372,0.1,0.8,5.0,0.25,-0.05939301042545434,0.630046500562428,0.849401661276865,1.1811388991223012e-5,1.1811388988898332e-5,1.0500184333053824
750444604,0.1,0.8,5.0,0.25,0.22277840305256666,0.9857845068060885,0.8226969936881424,0.00012992527890345315,0.00012992527887938137,1.0500282088923507
750444874,0.1,0.8,5.0,0.25,-0.1859572319600543,1.2831136293542313,1.0660260808143156,0.00013273751437755386,0.0001327375143511427,1.0502584201091132
750444954,0.1,0.8,5.0,0.25,-0.5118415107357308,2.3934231311146434,1.4854981236322995,0.0005691964599579852,0.000569196459805311,1.0507334505113848
750445092,0.1,0.8,5.0,0.25,0.2686947952763633,0.8392587787019751,0.7635413078779275,8.436706422302153e-5,8.436706420855796e-5,1.05008967403123
750445105,0.1,0.8,5.0,0.25,-0.10782909333074583,2.4561575240967475,1.2587722984254541,0.0014724864942391356,0.0014724864939860511,1.052195392606651
750445113,0.1,0.8,5.0,0.25,0.05114310461415424,0.8842475865541845,0.7469939699600951,0.00012205101957597113,0.00012205101955027862,1.0503792284969016
750445340,0.1,0.8,5.0,0.25,-1.0293651102485737,2.060916672851628,1.8012071863722987,0.00010292781835208626,0.0001029278183307334,1.0504800966609573
750445455,0.1,0.8,5.0,0.25,0.284005933416333,1.1572119939206849,0.7966304551050792,0.00033971804527136665,0.0003397180452151715,1.0503400305775816
750446300,0.1,0.8,5.0,0.25,0.3232342716940311,0.29211576032470604,0.4397422960926707,6.749365137841721e-6,6.749365136474988e-6,1.0517239998118884
75044724x,0.1,0.8,5.0,0.25,0.4270072616961845,0.7084227345918501,0.6535083895891652,7.874259327482009e-5,7.874259325971524e-5,1.0500186191560887
75044732x,0.1,0.8,5.0,0.25,-0.4071149430588422,0.960353138200239,1.1165287855059136,2.4747672172086314e-5,2.4747672167145527e-5,1.0501510838303887
750449093,0.1,0.8,5.0,0.25,-0.027443873045047598,1.2069779522921473,1.0496096575108844,0.00010574005382618697,0.00010574005380787756,1.0500772115282304
