id,z_j,a_j,epsilon_j,l_j_target,l_j_model
163999306,0.44839862137000985,0.01692882382008248,4.979106405110168,3.5996614068489185e-5,3.599661274799742e-5
163999824,1.171838520838588,-0.0013872707489065506,4.9942306120021795,9.617845321424453e-5,9.617845003499371e-5
164000541,1.7004639683772358,-0.13463089754433036,4.865709218879266,0.0003599661406848918,0.00035996612728369934
164000787,1.9058782261454024,0.31043109827551196,4.953055010408048,0.0004387087339597119,0.00043870871868959037
164033052,0.496880734308769,1.112677902148993,4.928156587708817,0.00023847756820374083,0.00023847756314407194
164035752,0.7323686728355036,0.6739815172380935,4.953225385051492,0.00024410203915194227,0.00024410203446463834
164036659,0.8041944301785428,-0.08810738804136653,4.998633841893138,3.712150825812947e-5,3.71215074866906e-5
164039702,0.13777798785292528,1.3601476137345763,4.997045200736274,3.374682568920861e-5,3.374682512349996e-5
164041001,0.8055072036285666,-2.969295238671692,4.868022902310658,0.00012598814923971214,0.00012598814658246123
164055147,0.6216041675566775,0.3485843726311355,4.987428399126036,9.336621774014381e-5,9.33662159150204e-5
164055438,4.784303427453845,1.2786081244376903,4.187730962588525,0.009902443551403446,0.00990244339404496
164057417,0.6447555198998411,0.14758500420115211,4.986508741777867,4.724555596489205e-5,4.7245555065806366e-5
164064780,0.42936217877877253,-0.2222655377003831,4.998364271749948,2.4747672172086314e-5,2.4747671413713305e-5
164065556,0.3902185247009122,0.07196916422120661,4.997369458953862,1.6873412844604303e-5,1.6873413010217754e-5
164070259,0.606851515106473,0.47235023191810177,4.977229780110072,7.874259327482009e-5,7.874259309368437e-5
164070582,0.2778437557909552,0.1434412562585169,4.996910466434447,2.249788379280574e-5,2.2497885253436346e-5
164071008,0.3852342905948722,-0.7861924848555037,4.9699132712340734,5.5119815292374064e-5,5.51198170663408e-5
164071411,0.4364717084603393,0.2645794787738462,4.997984983113015,3.487171987884889e-5,3.487172279080167e-5
164075332,0.13778459578114943,1.2182278159008177,4.995609386745502,3.374682568920861e-5,3.374682803938701e-5
164076271,0.8340952422871162,-0.08597677353178285,4.970191150997279,0.0001422991149894963,0.00014229912640858022
164076466,0.5026376566356626,0.7076884788144913,4.99321420784,9.674090030906468e-5,9.674091786259909e-5
164076511,0.6356165761380044,0.3668332708560964,4.947786327939179,0.0001940442477129495,0.00019404426411730158
164077231,0.8538519157687552,-2.3918345122246207,4.931352917893724,0.0001462362446532373,0.0001462365779706501
164079237,0.409511213077337,1.285744733586476,4.987458279493703,0.00012598814923971214,0.0001259881502163945
164080967,0.4398420003221398,0.15087387372949407,4.996967596163501,3.543416697366904e-5,3.543416990081161e-5
16408823x,2.2461122123966573,-2.3441774466335636,4.634058246913422,0.0007795516734207189,0.000779553450258926
164091121,0.7137647389104814,0.3216542278479322,4.989979816342729,5.624470948201435e-5,5.6244709647458695e-5
164091543,1.0210587021172128,-3.120804372152823,4.954907552155608,0.00012261346667079127,0.00012261346416021576
164092546,0.7236820595848226,0.09234413842852032,4.9756643871581225,0.00010855228930028769,0.00010855229828122538
164092909,0.27702106332132015,0.23811773925333313,4.998834504106454,1.631096574978416e-5,1.6310966909209527e-5
164093186,0.722185360970119,0.22809379395507268,4.967846754122519,0.00013161262018791358,0.0001316128352450382
164094349,0.7194837178737624,0.7149996733948301,4.972507020029447,0.00013779953823093516,0.00013779953778699083
164097160,0.5820541834850914,0.542736852309606,4.995630663660312,8.099238165410066e-5,8.099238682549221e-5
164097195,0.46718730113088824,-2.8866022729278735,4.967998611136428,4.555821468043162e-5,4.555821381534241e-5
164097259,1.3571198606866008,0.08322943707108617,4.955525395217906,0.00016873412844604306,0.00016873412932979758
164097355,0.40354833533390483,-2.9408873282008026,4.981821793873408,4.6120661775251764e-5,4.612066581985541e-5
