id,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163781083,0.1,0.8,1.42,0.12,0.0,1.0,1.0576553306328578,0.0001621939700917886,11.753113189631971,1.085083839818896
163784946,0.1,0.8,1.42,0.12,0.0,1.0,1.0924640405259323,0.00013816845695846977,11.800867940716365,1.0847395297552407
163788170,0.1,0.8,1.42,0.12,0.0,1.0,0.9342819545966347,0.0003008193325279973,11.680382304657646,1.085613636088028
163789202,0.1,0.8,1.42,0.12,0.0,1.0,1.1032801155578518,0.00013146057952333675,11.785571044950007,1.0848495160892937
163789376,0.1,0.8,1.42,0.12,0.0,1.0,0.8886575853025138,0.00038557218465419107,11.61811590256446,1.0860724758116134
163791468,0.1,0.8,1.42,0.12,0.0,1.0,1.0499072893936074,0.00016845327028219172,11.78624449722577,1.0848446678868218
163792030,0.1,0.8,1.42,0.12,0.0,1.0,1.0189604978470896,0.00019551597049896616,11.767865363312932,1.0849771788788103
163793201,0.1,0.8,1.42,0.12,0.0,1.0,1.087770728162562,0.00014120605973335835,11.807516001319456,1.0846918183204879
163793981,0.1,0.8,1.42,0.12,0.0,1.0,1.0821503192608997,0.00014482960197830097,11.790486010496391,1.0848141458384122
163794933,0.1,0.8,1.42,0.12,0.0,1.0,1.035394913317112,0.0001805809202948878,11.784009900281461,1.084860756946251
163795039,0.1,0.8,1.42,0.12,0.0,1.0,1.0030987564286244,0.0002113841120703768,11.75554924592301,1.0850662082290041
163820679,0.1,0.8,1.42,0.12,0.0,1.0,1.1034457256811483,0.00013147737794872005,11.812096263621301,1.0846589781933782
163820812,0.1,0.8,1.42,0.12,0.0,1.0,1.0208113439728936,0.00019335969270056877,11.707578757401505,1.0854147574593767
163820927,0.1,0.8,1.42,0.12,0.0,1.0,1.091701055459199,0.00013863200033265876,11.79652018224838,1.084770761593306
163822340,0.1,0.8,1.42,0.12,0.0,1.0,1.035049342325475,0.0001808662844772843,11.781297120041387,1.0848802971193114
163822404,0.1,0.8,1.42,0.12,0.0,1.0,1.1037970983080636,0.0001312708225138239,11.812690688001453,1.0846547180834705
16382328x,0.1,0.8,1.42,0.12,0.0,1.0,1.0849696233788884,0.00014293125917064063,11.78492003927271,1.0848542032247606
163825592,0.1,0.8,1.42,0.12,0.0,1.0,0.8930261874276239,0.00037765815210706214,11.729986157000592,1.0852515925096116
163826034,0.1,0.8,1.42,0.12,0.0,1.0,1.0916686087065914,0.0001386871901413514,11.804054866409084,1.0847166512963025
163827272,0.1,0.8,1.42,0.12,0.0,1.0,1.0297228532968872,0.00018568981983342188,11.797056272304552,1.0847669093812544
163829075,0.1,0.8,1.42,0.12,0.0,1.0,0.8937590745452924,0.0003761255883335416,11.731042864363253,1.085243913227682
163837251,0.1,0.8,1.42,0.12,0.0,1.0,1.09432524272502,0.0001370247324107765,11.80688055676777,1.084696376421526
163837809,0.1,0.8,1.42,0.12,0.0,1.0,0.8881181301907293,0.0003883777613505603,11.74294139427248,1.0851575398722284
163858001,0.1,0.8,1.42,0.12,0.0,1.0,0.9321161867692731,0.00030493540518205516,11.739501434382312,1.085182493105817
163858538,0.1,0.8,1.42,0.12,0.0,1.0,0.9171216656460748,0.00033045812042241575,11.718400382615185,1.0853358792453915
163859629,0.1,0.8,1.42,0.12,0.0,1.0,1.1306613644707477,0.00011639313128524358,11.810994879973316,1.0846668727031283
163860478,0.1,0.8,1.42,0.12,0.0,1.0,1.044330360386535,0.0001723627593500487,11.676114716131087,1.0856449276417655
163861606,0.1,0.8,1.42,0.12,0.0,1.0,1.1409726741535986,0.0001112355261307912,11.813058956834313,1.0846520789961402
16386230x,0.1,0.8,1.42,0.12,0.0,1.0,1.0600571728911092,0.00015869949208000824,11.447985643947169,1.0873516119867537
163863767,0.1,0.8,1.42,0.12,0.0,1.0,0.9590189517092743,0.00026322899197905213,11.597338701502132,1.0862266788733588
163871812,0.1,0.8,1.42,0.12,0.0,1.0,0.90978841693553,0.00034382607694461993,11.703978972767146,1.0854410284166438
163899452,0.1,0.8,1.42,0.12,0.0,1.0,1.1260224851322351,0.00011871749417156509,11.787343483276464,1.0848367574440136
163901671,0.1,0.8,1.42,0.12,0.0,1.0,1.2078473654500765,8.36818089609322e-5,11.818052630623509,1.0846163095778363
163904143,0.1,0.8,1.42,0.12,0.0,1.0,1.1425458164759656,0.00011009452099086816,11.710350298088173,1.0853945419688478
163906077,0.1,0.8,1.42,0.12,0.0,1.0,0.9383991343575468,0.000295052964759751,11.758807609359229,1.0850426363982746
163906085,0.1,0.8,1.42,0.12,0.0,1.0,1.0452185357787722,0.00017231407098327085,11.794721100510692,1.0847836919142329
163907133,0.1,0.8,1.42,0.12,0.0,1.0,0.8129833855883716,0.00033642250423566615,4.54569308971485,1.2199884550636766
163912215,0.1,0.8,1.42,0.12,0.0,1.0,0.792342754007799,0.00045461919705600706,5.598651771123265,1.1786144309167077
16391224x,0.1,0.8,1.42,0.12,0.0,1.0,1.1217753696563568,0.0001210709674468588,11.809559632649723,1.0846771624942995
163912266,0.1,0.8,1.42,0.12,0.0,1.0,1.033363709689729,0.00018246745562658454,11.801339869387043,1.084736141071068
163916726,0.1,0.8,1.42,0.12,0.0,1.0,1.0982287791606815,0.00013458783462183687,11.802624476793355,1.084726918319415
163918035,0.1,0.8,1.42,0.12,0.0,1.0,0.9263000492849971,0.0003147590970507892,11.751816267751202,1.085093229609465
163918190,0.1,0.8,1.42,0.12,0.0,1.0,0.8904564643791714,0.0003832943408426264,11.742102720210351,1.085163622208722
163922288,0.1,0.8,1.42,0.12,0.0,1.0,0.9516685314263161,0.0002752121999273905,11.776676368968113,1.0849136011442948
16392454x,0.1,0.8,1.42,0.12,0.0,1.0,0.895066971043503,0.0003737530051916722,11.760491953212734,1.0850304565470852
163925577,0.1,0.8,1.42,0.12,0.0,1.0,0.9367928910055354,0.00029763299937602766,11.763026179447706,1.0850121375864312
163929332,0.1,0.8,1.42,0.12,0.0,1.0,1.0366132717025158,0.00017959011034321225,11.795414998900252,1.0847787042756218
163931176,0.1,0.8,1.42,0.12,0.0,1.0,1.214000003808442,8.159850716806557e-5,11.823937171712787,1.0845741977039904
163932822,0.1,0.8,1.42,0.12,0.0,1.0,1.0311573765293904,0.0001844312788367671,11.801889353163718,1.084732195843874
163934342,0.1,0.8,1.42,0.12,0.0,1.0,1.150186423707017,0.00010684512725826821,11.811398534630001,1.0846639792119523
163941227,0.1,0.8,1.42,0.12,0.0,1.0,0.911900090661942,0.0003405163611591524,11.761316312206926,1.0850244967021347
163941462,0.1,0.8,1.42,0.12,0.0,1.0,0.9452516234295946,0.000284595381736124,11.767590667028678,1.0849791625402025
163942465,0.1,0.8,1.42,0.12,0.0,1.0,1.0578132082651328,0.00016211540757256283,11.760966699249614,1.0850270241870341
163943855,0.1,0.8,1.42,0.12,0.0,1.0,1.071826978105796,0.00015201011229221874,11.804433528019016,1.0847139337628018
163945076,0.1,0.8,1.42,0.12,0.0,1.0,0.8931813232101786,0.00037702485072107356,11.705849560827762,1.0854273749892005
163947426,0.1,0.8,1.42,0.12,0.0,1.0,1.076856871713275,0.00014845128592218991,11.79594613592988,1.0847748869379836
163948074,0.1,0.8,1.42,0.12,0.0,1.0,1.230818586729936,7.617154630305412e-5,11.823053755905153,1.0845805170682354
163948664,0.1,0.8,1.42,0.12,0.0,1.0,1.0573628175703005,0.0001625197499980887,11.771834095923273,1.0849485298426276
163951206,0.1,0.8,1.42,0.12,0.0,1.0,1.223899059855398,7.835432114128303e-5,11.825005922736064,1.084566553838023
16395137x,0.1,0.8,1.42,0.12,0.0,1.0,0.8136379536062942,0.0003344499499629577,4.536350559089097,1.2204415172448226
163952196,0.1,0.8,1.42,0.12,0.0,1.0,1.0493897429872707,0.00016897676576495057,11.805489400626694,1.0847063570229385
16395241x,0.1,0.8,1.42,0.12,0.0,1.0,1.0475603520219405,0.0001704649263325078,11.806828416199105,1.084696750452305
163952612,0.1,0.8,1.42,0.12,0.0,1.0,1.2277860315846187,7.711629155126888e-5,11.822814672371074,1.0845822274738786
163956031,0.1,0.8,1.42,0.12,0.0,1.0,1.1214642138069861,0.00012127007174221266,11.81731260350246,1.0846216084445135
163956373,0.1,0.8,1.42,0.12,0.0,1.0,1.0431823775487659,0.00017396502286571092,11.788253738344238,1.0848302065934712
163957202,0.1,0.8,1.42,0.12,0.0,1.0,1.2150319357983066,8.123440915003352e-5,11.817156237702497,1.084622728166148
16395778x,0.1,0.8,1.42,0.12,0.0,1.0,0.9280299651711705,0.00031072892656763986,11.64611156820722,1.0858655693055446
163959750,0.1,0.8,1.42,0.12,0.0,1.0,0.9319466334098828,0.0003049906774588053,11.717754537764788,1.0853405826839204
163960022,0.1,0.8,1.42,0.12,0.0,1.0,1.1050477665779566,0.00013029076757253372,11.757489715051298,1.0850521688077561
163963047,0.1,0.8,1.42,0.12,0.0,1.0,1.0722955219374504,0.00015168205085029805,11.80518206304882,1.0847085622787709
163963063,0.1,0.8,1.42,0.12,0.0,1.0,1.1090231545332982,0.00012814370459022215,11.797785688331016,1.084761668538282
163963717,0.1,0.8,1.42,0.12,0.0,1.0,0.9462802635212363,0.00028286281093282967,11.747541589898718,1.0851241932065057
163964517,0.1,0.8,1.42,0.12,0.0,1.0,1.151079730371501,0.00010634401727922433,11.786653469154992,1.0848417239564176
163966141,0.1,0.8,1.42,0.12,0.0,1.0,1.0307484070767003,0.00018452362144364993,11.75724330047009,1.0850539513765116
163966344,0.1,0.8,1.42,0.12,0.0,1.0,1.0422807203379263,0.00017468078634505854,11.78169758541254,1.0848774119986024
163969078,0.1,0.8,1.42,0.12,0.0,1.0,1.084002736535144,0.00014352191574051095,11.774867369287296,1.0849266466141545
163972146,0.1,0.8,1.42,0.12,0.0,1.0,0.8893998730857188,0.00038446718712002286,11.656491711194553,1.0857891057426505
163973253,0.1,0.8,1.42,0.12,0.0,1.0,1.062019215767324,0.00015899592768161156,11.773326903559807,1.0849377587313607
163977262,0.1,0.8,1.42,0.12,0.0,1.0,0.9332037590484544,0.0003029354181393089,11.717114022378803,1.0853452478221237
16397802x,0.1,0.8,1.42,0.12,0.0,1.0,1.0525855148922276,0.0001664367182093013,11.807231613432252,1.0846938581997807
163978206,0.1,0.8,1.42,0.12,0.0,1.0,1.0465275588892646,0.0001712637896677092,11.799075881202256,1.084752400108991
163978361,0.1,0.8,1.42,0.12,0.0,1.0,1.075227174787774,0.00014961349871260834,11.802765879168652,1.0847259032533174
163978863,0.1,0.8,1.42,0.12,0.0,1.0,1.114818457260681,0.00012487814200299016,11.805218744378749,1.0847082990712194
163979276,0.1,0.8,1.42,0.12,0.0,1.0,1.0437837456590413,0.000173490949541679,11.792859871202452,1.084797073052818
16398581x,0.1,0.8,1.42,0.12,0.0,1.0,1.1364805880211621,0.00011337883775332114,11.793738060120539,1.0847907588673187
16398725x,0.1,0.8,1.42,0.12,0.0,1.0,0.9241434579788086,0.0003139123578327957,11.336386569184505,1.0882115296525157
163990088,0.1,0.8,1.42,0.12,0.0,1.0,1.0790661488806366,0.00014673225133282584,11.753831568173592,1.0850786396078491
163997300,0.1,0.8,1.42,0.12,0.0,1.0,1.0569429796450296,0.00016277380459358925,11.759106886965666,1.0850404720028903
163999306,0.1,0.8,1.42,0.12,0.0,1.0,1.1237871203665342,0.00011951808502906004,11.691191367438405,1.0855344822072743
