id,alpha,theta,sigma,eta,n_origins,pearson_correlation,covariance_population,epsilon_weighted,epsilon_origin_mean,epsilon_composition_gap,omega_max,epsilon_origin_sd,amenity,productivity,employment,wage,markdown
163569824,0.8,1.42,0.12,0.4,128,-0.9548109157184355,-0.011332906837911143,10.22579183877971,11.676403914032337,-1.4506120752526268,0.14054633696192864,0.48256963212868226,0.5857859503107341,2.1059566450375287,0.0014449265863407464,1.081366977123203,1.0977919378534244
163569832,0.8,1.42,0.12,0.4,128,-0.9468950533895399,-0.017882058733490643,9.42104915396236,11.70995267184916,-2.2889035178868014,0.37541457535945827,0.5017194653520293,0.2961253535476366,2.179650154608448,0.0013684337816067293,1.1229042634356101,1.1061452905783231
163570278,0.8,1.42,0.12,0.4,128,-0.9939239548691177,-0.0031118130543660687,11.430287434245741,11.828599505204593,-0.3983120709588519,0.9073346975436042,0.03932976532916896,0.7806472570437853,0.5096183362067032,0.00012261346664567874,0.4326395935047417,1.0874868638039623
163570649,0.8,1.42,0.12,0.4,128,-0.9986165062403559,-0.0009303005270255033,11.71221068960729,11.831289157066555,-0.11907846745926598,0.6803955049823279,0.015125302522225844,-0.5345604072743145,0.8771567492468336,2.137298959878851e-5,1.0581197453633224,1.0853809777250114
163570868,0.8,1.42,0.12,0.4,128,-0.9988822798820933,-0.06074635629450747,3.933077077117432,11.708610682814388,-7.775533605696957,0.6843901635648658,1.0011354576173999,2.2457644567618833,0.5278160668481909,0.0025383237383891206,0.21193399769084245,1.2542538527449616
163571449,0.8,1.42,0.12,0.4,128,-0.9304288999794541,-0.002219027955345427,11.509879615071986,11.793915193356199,-0.2840355782842128,0.1359306849742288,0.11391129506150802,0.17702033735647982,0.9800779910175411,0.0002722243938392558,0.7097505695926899,1.0868818817783739
16357173x,0.8,1.42,0.12,0.4,128,-0.9468950533895398,-0.007893683140061223,10.768477924930362,11.7788693668582,-1.0103914419278368,0.3754145753594584,0.22147419062395374,0.7183099525026001,1.1187909336567468,0.000604068179796805,0.687034651286816,1.0928636346725358
163571887,0.8,1.42,0.12,0.4,128,-0.9945924380585608,-0.00035856890052867726,11.78553636650113,11.831433185768804,-0.045896819267673195,0.39652899784838047,0.009146003330331368,-0.5221167421562357,0.9241247883871132,1.799830703057954e-5,1.154323558253084,1.0848497657554534
163571908,0.8,1.42,0.12,0.4,128,-0.978556850153689,-0.02621258828818184,8.132260090405302,11.487471391292573,-3.3552113008872713,0.1716071046439784,1.0710673772147699,-1.5055406035506098,1.8166922472132014,0.0004966407846125139,1.1290644800312861,1.122967045923658
163572492,0.8,1.42,0.12,0.4,128,-0.9894747450998819,-0.028015152173749176,8.109308204390974,11.69524768263087,-3.5859394782398955,0.5091254325019194,0.6097089462122891,0.43492575680784945,1.0357579077217707,0.001181138898863256,0.5411396342037121,1.1233150812369577
163572572,0.8,1.42,0.12,0.4,128,-0.9877633193527345,-0.016438180129734276,9.693242375128767,11.797329431734756,-2.104087056605989,0.5977661201763973,0.30694048029011056,-1.2510559950866327,1.9273794739747692,0.00012092612535656829,1.617468135222583,1.103164654436562
163572652,0.8,1.42,0.12,0.4,128,-0.9959891426177578,-0.0007979384261203248,11.72856999022528,11.83070610876868,-0.10213611854340066,0.4839327892913076,0.016681393949505897,0.28549695432798666,0.24851706456540032,1.2373836083025074e-5,0.33445189615381105,1.0852618862174512
163572767,0.8,1.42,0.12,0.4,128,-0.9999999999999992,-0.07204718311284285,2.5386794110675384,11.76071884951142,-9.222039438443883,0.9999999997329916,0.8215391023682918,-1.5001301184721412,2.4982252998484964,0.0011597659088886175,1.055691552152628,1.393905585573521
163573196,0.8,1.42,0.12,0.4,128,-0.9985084189242215,-0.001017855981748818,11.701679216067948,11.831964781731791,-0.13028556566384353,0.9096738369382484,0.01276622712758396,-0.5260155474303881,0.6421106169365348,1.6310965745781754e-5,0.8175490794870937,1.0854578203294847
163573292,0.8,1.42,0.12,0.4,128,-0.9923220999294908,-0.00986393734440013,10.541430004843265,11.804013984926483,-1.2625839800832175,0.537557790054489,0.19333346866513015,-0.5575400133531879,1.9504275612144335,0.0003290315503844743,1.3500041202722306,1.0948637897837912
163573794,0.8,1.42,0.12,0.4,128,-0.9885425912798229,-0.0023779641131634853,11.51766941285071,11.822048819335636,-0.30437940648492656,0.4715522048221165,0.05208047220218258,-0.5917333632240218,1.3684581818484052,9.786579447718944e-5,1.2160721614558385,1.0868231205598122
163573903,0.8,1.42,0.12,0.4,128,-0.9905230392290229,-0.003166561534105217,11.41902889625806,11.824348772623532,-0.4053198763654713,0.5261813870848429,0.06411677099249974,-0.29691653034802173,0.6206639487806634,4.0496190817173924e-5,0.6575489518569231,1.087573121067037
163574148,0.8,1.42,0.12,0.4,128,-0.957445538826364,-0.0015010010200656046,11.62752603446455,11.819654165032949,-0.19212813056839906,0.24841104874327766,0.05472922586193243,0.20385983629079205,1.6523923332136201,0.00026210034613644283,1.2067062733574456,1.0860028175414058
